,high_ast
1577,Cd151
1578,Tiparp
1579,Adipor2
1580,Anxa7
1581,Sec63
1582,Glod4
1583,Taok1
1584,Akr1c14
1585,Chmp4b
1586,Anapc4
1587,Cd47
1588,Dhx36
1589,Trappc13
1590,Txndc15
1591,Myo1e
1592,Fcho2
1593,Ndufb5
1594,Sbf2
1595,Zfand6
1596,Arhgef26
1597,Ogt
1598,Psma1
1599,Rsl1d1
1600,Taf13
1601,Eif3b
1602,Mmp14
1603,Commd8
1604,Map4k3
1605,Fxr1
1606,Pbrm1
1607,Tsg101
1608,Pole4
1609,Tnks2
1610,Slc31a1
1611,Nfe2l1
1612,Prpf40a
1613,Nectin3
1614,Mtarc2
1615,Akap11
1616,Pdlim5
1617,Stam
1618,Ndufs3
1619,Apc
1620,Rps12
1621,Ccnc
1622,Syf2
1623,Trim28
1624,Efemp2
1625,Aldh1l1
1626,Dnajc5
1627,Stau1
1628,Nbl1
1629,Rpl35a
1630,Thoc2
1631,U2surp
1632,Scd1
1633,Tiprl
1634,Rap1gds1
1635,Ap3m1
1636,Sort1
1637,Dnajb11
1638,Atl2
1639,Pawr
1640,Btf3
1641,Tvp23b
1642,Rnft1
1643,Cpq
1644,Alg2
1645,Ascl1
1646,Desi2
1647,Pik3r1
1648,Pfkm
1649,Nucb1
1650,Marchf7
1651,Tle3
1652,Mtmr6
1653,Flot1
1654,Sgce
1655,Cpsf3
1656,Ski
1657,Tef
1658,Ddx50
1659,Slc25a23
1660,Dnajc18
1661,Cbfb
1662,Atp6v0b
1663,Wdr26
1664,Egln1
1665,Hnrnpa1
1666,Rab9
1667,Vps4a
1668,Commd6
1669,Smc4
1670,Ccnh
1671,Ggh
1672,Psmb4
1673,Lypla1
1674,Bod1l
1675,Hnrnpr
1676,Hnrnpll
1677,Tmem123
1678,Slc9a3r1
1679,Kctd5
1680,Numa1
1681,Rnf181
1682,Yy1
1683,Cux1
1684,Golgb1
1685,Smad1
1686,Rraga
1687,Dnajb9
1688,Fam107b
1689,Gab1
1690,Rnf141
1691,Cisd2
1692,Macroh2a1
1693,Agpat5
1694,Paqr8
1695,Ppp4r3b
1696,Ppp5c
1697,Cstf2t
1698,Plxnb1
1699,Tor1aip2
1700,Atp6v1f
1701,Cpne3
1702,Fam32a
1703,Adam22
1704,Gna12
1705,Epha5
1706,Khdrbs1
1707,Derl2
1708,Ide
1709,H1f2
1710,Dhrs7
1711,Psmd4
1712,Rpl29
1713,Cope
1714,Nrd1
1715,Msantd4
1716,Dhx15
1717,Rab22a
1718,C1ql1
1719,Ttc30b
1720,Cyhr1
1721,Sumo1
1722,Htatsf1
1723,Eif3m
1724,1810058I24Rik
1725,Prkca
1726,Khdrbs3
1727,Rbm7
1728,Prpf4b
1729,Memo1
1730,Ube2g1
1731,Ro60
1732,BC004004
1733,Coa3
1734,Akap9
1735,Myl9
1736,Plp1
1737,Bnip2
1738,Luc7l2
1739,Gbp2
1740,Tomm70a
1741,Gnaq
1742,Srp9
1743,Atp5o
1744,Nrbp2
1745,Spata6
1746,Snd1
1747,Bzw2
1748,Aco1
1749,Ppig
1750,Pxdn
1751,Glipr2
1752,Mapk10
1753,Jak1
1754,Hspe1
1755,Trp53inp2
1756,Atp6v0a2
1757,Mob1a
1758,Tspyl1
1759,Sec13
1760,Ier5
1761,Tmco3
1762,Trim37
1763,Rpl27a
1764,Mrpl28
1765,Pias2
1766,Usp14
1767,Wdr6
1768,Ndn
1769,Cby1
1770,Ptms
1771,Napa
1772,Tcf7l2
1773,Pex19
1774,Nek9
1775,Srrm1
1776,Fez2
1777,Man1c1
1778,Fabp5
1779,Rab33b
1780,Wwc2
1781,Ndufb1
1782,Snx2
1783,Maf1
1784,Dipk2a
1785,Plec
1786,Ift81
1787,Tmem106b
1788,Fuca1
1789,Slc49a4
1790,Bmt2
1791,Rpap3
1792,Gramd3
1793,Cript
1794,Mbd3
1795,Ganab
1796,Dip2b
1797,Nudcd2
1798,Sephs1
1799,Mprip
1800,Tulp4
1801,Cnpy2
1802,Cyrib
1803,Rpl5
1804,Zc3h15
1805,Mkrn1
1806,Dnaaf9
1807,Dlat
1808,Rhobtb3
1809,Svip
1810,Ndufa1
1811,Spen
1812,Sars
1813,Zfand3
1814,Fam171b
1815,Leprot
1816,Cse1l
1817,Ndufs4
1818,Dync1li2
1819,Zmat3
1820,Vti1b
1821,Rps29
1822,Flna
1823,Eri3
1824,Tgoln1
1825,Pdcd10
1826,Arpc4
1827,Pacrg
1828,Slc25a46
1829,S100a11
1830,Psmd13
1831,Fundc2
1832,Higd1a
1833,Unc50
1834,Tm2d2
1835,Rcc2
1836,Spin1
1837,Poglut1
1838,Abcc5
1839,Ifrd1
1840,Zmat2
1841,Ift22
1842,Tnpo3
1843,Vamp4
1844,Hnrnpa3
1845,Hdac3
1846,Phip
1847,Tex261
1848,Slc44a2
1849,Etnk1
1850,Ndufa8
1851,Gpbp1
1852,Stard3nl
1853,Jund
1854,Cavin1
1855,Psme3
1856,Ube2a
1857,Tmem106c
1858,Atf4
1859,Dync2li1
1860,Gtf2h5
1861,Phkb
1862,Ngly1
1863,Lman1
1864,Vat1l
1865,Tspan9
1866,Prrc2c
1867,Zeb2
1868,Chmp3
1869,Zfp703
1870,Tagln2
1871,Mras
1872,D8Ertd738e
1873,Pcsk1n
1874,Scg5
1875,Mrpl17
1876,Anapc16
1877,Rexo2
1878,Ube2j1
1879,Yme1l1
1880,Sec31a
1881,Rimklb
1882,Vps28
1883,Rcan2
1884,Cul2
1885,C4b
1886,Gspt1
1887,Cdc123
1888,Sidt2
1889,Fubp3
1890,2310022B05Rik
1891,Scfd1
1892,Nrbp1
1893,Hipk1
1894,Micu1
1895,Gps1
1896,Wac
1897,Arpc1a
1898,Gas6
1899,Maea
1900,Lrp10
1901,Atf7ip
1902,Sike1
1903,Coq10b
1904,Igsf9b
1905,Cnot2
1906,Ctr9
1907,Tmem263
1908,Mesd
1909,Slc35b2
1910,Ift80
1911,Lamc1
1912,Rnf2
1913,Lratd1
1914,Mrpl20
1915,Chic2
1916,G6pdx
1917,Wdr35
1918,Tmed3
1919,Adhfe1
1920,Lamb2
1921,Scoc
1922,Lamtor1
1923,Ranbp1
1924,Tfdp1
1925,Wdr61
1926,Drg1
1927,Asap1
1928,Nudt19
1929,Shoc2
1930,Arl8b
1931,Ptdss1
1932,Ube2m
1933,Ahsa1
1934,Fut8
1935,Necap2
1936,Lhx2
1937,Prkci
1938,Nek7
1939,Sec61a1
1940,Nudc
1941,Cdkn2b
1942,Rad21
1943,Tmem167
1944,Usp25
1945,Neto2
1946,Anp32e
1947,Bace2
1948,Stx6
1949,Ybx3
1950,Efr3a
1951,Ythdf2
1952,Ormdl3
1953,Ppargc1a
1954,Ckap4
1955,Capn7
1956,Fto
1957,Cops8
1958,Sh3pxd2b
1959,Med28
1960,Fam234b
1961,Aars
1962,Srp72
1963,Emc8
1964,Rpl28
1965,Hacd2
1966,Slc30a5
1967,Wdr82
1968,Tnrc6b
1969,Dap3
1970,Atox1
1971,Pex3
1972,Jkamp
1973,Rnf115
1974,Mib1
1975,Mapkap1
1976,Pcx
1977,Ap2s1
1978,Rp2
1979,Txndc12
1980,Mpv17
1981,Tmem234
1982,Raver2
1983,Mxra8
1984,Rpl7l1
1985,Cdk11b
1986,Trim9
1987,Acap2
1988,Steap4
1989,Bmp1
1990,Bcl10
1991,Bmpr2
1992,Itsn1
1993,Vps4b
1994,Pura
1995,Coq9
1996,Rufy3
1997,Bbip1
1998,Brd3
1999,Gas2l1
2000,Cdk16
2001,Rftn2
2002,Setd3
2003,Nwd1
2004,Ap1s1
2005,Snrpb
2006,Sec23b
2007,Cibar1
2008,Ap1m1
2009,Ywhah
2010,Sec14l1
2011,Usp24
2012,Prpf6
2013,G3bp1
2014,Sdf2
2015,Pdzd11
2016,Tmed5
2017,Sat1
2018,Smarca2
2019,Ltbp3
2020,Plscr2
2021,Cyp51
2022,Slu7
2023,Pcca
2024,Nck1
2025,Ndufs8
2026,Zfp36l2
2027,Igfbp7
2028,Ctsf
2029,Smarcb1
2030,Rpl36
2031,Pgpep1
2032,Mbnl1
2033,Mgrn1
2034,Eif2s1
2035,Chd6
2036,Kmt2a
2037,Kmt2e
2038,Smc1a
2039,Fryl
2040,Brd2
2041,Msi2
2042,Col3a1
2043,Trim44
2044,1110032A03Rik
2045,Pou3f3
2046,Ube2k
2047,Fbxo44
2048,Fam168a
2049,Mpzl1
2050,Zc2hc1a
2051,Tuba1b
2052,Map1a
2053,Kdelr1
2054,Car2
2055,Psma5
2056,Dcaf12
2057,Vezf1
2058,Cpd
2059,Pitpnb
2060,Dcakd
2061,Lrrc8c
2062,Selenot
2063,Gatm
2064,Kcmf1
2065,Lix1
2066,Itgav
2067,Rock2
2068,Decr1
2069,Fam162a
2070,Cep20
2071,Epas1
2072,Pdcd6ip
2073,Ppm1b
2074,Ppp6r1
2075,Rpl12
2076,Fbxw2
2077,Zdhhc6
2078,Tbca
2079,Phf20l1
2080,Aif1l
2081,Ppp1r2
2082,Plod2
2083,Bag6
2084,Map1lc3a
2085,Nampt
2086,Ufc1
2087,Wdr33
2088,Hikeshi
2089,Nsmce4a
2090,Smarcc1
2091,Rbm18
2092,Ostc
2093,Dusp3
2094,Pdcl
2095,Otub1
2096,Kdelr2
2097,Ppm1l
2098,Fdft1
2099,Tmed9
2100,Kat6a
2101,Tcaf1
2102,Hbs1l
2103,Elp2
2104,Sorbs3
2105,Elmo2
2106,Tmem70
2107,Vps36
2108,Rfx4
2109,Cox14
2110,Mgll
2111,Chuk
2112,Cpt1c
2113,Riok3
2114,Ypel3
2115,Sik3
2116,Tceal3
2117,Cdc37
2118,Ccz1
2119,Naxe
2120,Hexb
2121,Ube2d2a
2122,Cap2
2123,Zfp260
2124,Herpud2
2125,Ctbp2
2126,Eif2b2
2127,Gtf2a1
2128,Tmem108
2129,Arpc3
2130,Tsen34
2131,Ywhag
2132,Hook3
2133,Nemf
2134,Arnt2
2135,Sumo3
2136,Cavin3
2137,Cited2
2138,Ipo7
2139,Jtb
2140,Tollip
2141,Cnot8
2142,Hmgb2
2143,Irgm1
2144,Cstpp1
2145,Nedd9
2146,Sltm
2147,Ubac1
2148,Manf
2149,Blcap
2150,Grpel1
2151,Pank2
2152,Gdpd2
2153,Tacc1
2154,Crnkl1
2155,Nicn1
2156,Palm
2157,Ddx42
2158,Cap1
2159,Rpl39
2160,Dcxr
2161,Tpgs2
2162,Akr1e1
2163,Ppp1r9b
2164,Mxi1
2165,Pak1
2166,S100a13
2167,Tm9sf4
2168,Bmerb1
2169,Ctdsp2
2170,Fbrsl1
2171,Akirin2
2172,Enpp4
2173,Hmox1
2174,Camk1
2175,Ddx3x
2176,Fam234a
2177,Csnk2b
2178,Ccdc50
2179,Slc35a4
2180,Tmem19
2181,Rbm17
2182,Ndp
2183,Igbp1
2184,Iscu
2185,Peli2
2186,Uba5
2187,Adra2a
2188,Flot2
2189,Tspan31
2190,Smim15
2191,Adora1
2192,C1qbp
2193,Fgfrl1
2194,Aggf1
2195,Nme5
2196,Higd2a
2197,Ash2l
2198,Sap18
2199,Smox
2200,Grb2
2201,Lpcat1
2202,Plaa
2203,Ndufa12
2204,Anapc11
2205,Iqcg
2206,Impact
2207,Dlgap4
2208,Map2k2
2209,Arl6ip5
2210,Ptgr2
2211,Ccdc34
2212,Slc25a1
2213,Psme2
2214,Wbp4
2215,Aamdc
2216,Ube3a
2217,Adi1
2218,Map2
2219,Psmd11
2220,Syncrip
2221,Ift52
2222,Uso1
2223,Ctsz
2224,Llgl1
2225,Cul4a
2226,Arpc5l
2227,Ppm1g
2228,Kras
2229,Rhoc
2230,Fn1
2231,Usp47
2232,Exoc5
2233,Pbx1
2234,Lima1
2235,Cfap20
2236,Sgpp1
2237,Lias
2238,Maoa
2239,Larp1
2240,Mindy2
2241,Vangl2
2242,Fgfr1op2
2243,Rgma
2244,Fasn
2245,Ppme1
2246,Gatad2a
2247,Hbegf
2248,Hnrnpd
2249,Pde4b
2250,Klf3
2251,Ssx2ip
2252,Usp22
2253,Plxdc2
2254,Arl14ep
2255,Arhgap1
2256,Ostm1
2257,Capn2
2258,Upf3b
2259,Acin1
2260,Pdk2
2261,Klhl13
2262,Lsm4
2263,Cib1
2264,Ddrgk1
2265,Asb8
2266,Celsr2
2267,Dctn3
2268,Fbxo8
2269,Smad2
2270,Slc35b1
2271,Fem1b
2272,Glt8d1
2273,Rfx3
2274,Ccdc136
2275,Mapk6
2276,Araf
2277,Ncbp2
2278,Ncstn
2279,Pdhx
2280,Myo18a
2281,Irs2
2282,Trp53inp1
2283,Timm17a
2284,B4galt4
2285,Mrpl50
2286,Trmt1l
2287,E2f6
2288,1810013L24Rik
2289,Tra2a
2290,Hs2st1
2291,Tank
2292,Magi3
2293,Clint1
2294,Timm29
2295,Rabac1
2296,Pkd2
2297,Timm13
2298,Osbpl9
2299,Ogfr
2300,Dmwd
2301,Ext1
2302,Ubr7
2303,Tspan5
2304,Zbtb18
2305,Chmp1a
2306,Sbno1
2307,Ube2e2
2308,Prkcsh
2309,Abhd8
2310,Zkscan1
2311,Dido1
2312,Chil1
2313,Efcab14
2314,Myo5a
2315,Bbln
2316,Lman2
2317,Pin1
2318,Orc3
2319,Actr1b
2320,C1d
2321,Pdrg1
2322,Rnh1
2323,Cox5a
2324,Mcmbp
2325,Golim4
2326,Lrrn1
2327,Rpgr
2328,Txndc9
2329,Slco1c1
2330,Glis3
2331,Gabarapl1
2332,Brix1
2333,Unc119b
2334,Kmt5a
2335,Zfp422
2336,Plpp1
2337,Gpat4
2338,Ankra2
2339,Ppp4c
2340,Nudt9
2341,Dnpep
2342,Senp6
2343,Pex7
2344,Pa2g4
2345,Ckap2
2346,Nop53
2347,Mcur1
2348,Rpl38
2349,Prpf38b
2350,Prrc2b
2351,Nr2f1
2352,Bgn
2353,Gca
2354,Ptpa
2355,Nae1
2356,Gmps
2357,Ldah
2358,Sez6
2359,Glrx2
2360,Zeb1
2361,Susd6
2362,Glrb
2363,Phtf1
2364,Anxa4
2365,Chl1
2366,Srsf9
2367,Bcap29
2368,Bex3
2369,Spire1
2370,Acadvl
2371,Cpne2
2372,Tmem209
2373,Cul5
2374,Ppic
2375,Farp1
2376,Nav2
2377,Basp1
2378,Aebp2
2379,Hspa13
2380,Mbd2
2381,Prpf19
2382,Pgap4
2383,Cryzl1
2384,Exoc3
2385,Pum1
2386,Astn1
2387,Naa35
2388,Ssbp2
2389,Cpt1a
2390,Csnk1d
2391,Dbp
2392,Fzd2
2393,Cask
2394,Sox8
2395,Cisd1
2396,Ttc8
2397,Tmem242
2398,Srsf2
2399,Efemp1
2400,Pld3
2401,Ap2b1
2402,Ankrd13c
2403,Arsk
2404,Srebf2
2405,Dnajc1
2406,Dennd10
2407,Pmpca
2408,Hdac1
2409,Thrsp
2410,Ptgds
2411,Chordc1
2412,Synpo2
2413,Dclk2
2414,Tomm20
2415,Dcaf7
2416,Tpp2
2417,Trappc11
2418,Strn4
2419,Mindy3
2420,Tmem14c
2421,Casp3
2422,Tapt1
2423,Copg2
2424,Gfm1
2425,Nim1k
2426,Mex3c
2427,Uqcrb
2428,Pigs
2429,Ptdss2
2430,Stoml2
2431,Irf2bp2
2432,Ppp1r12a
2433,Tmsb10
2434,Prps2
2435,Opa1
2436,Igsf8
2437,Enah
2438,Mapk9
2439,Map2k4
2440,Ppa2
2441,Mtrex
2442,Tra2b
2443,Qrich1
2444,Osbpl2
2445,Kcne1l
2446,Tmem135
2447,Angel2
2448,Ythdf1
2449,Rbbp6
2450,Nars
2451,Mapre2
2452,Sel1l
2453,Faf2
2454,Col4a5
2455,Lta4h
2456,Ier2
2457,Trap1
2458,Tmbim4
2459,Kmt2d
2460,Ndufs7
2461,Bcar1
2462,Pum3
2463,Nol7
2464,Sec11a
2465,Elof1
2466,Mrps17
2467,Nipsnap3b
2468,Acly
2469,Chrdl1
2470,Retreg2
2471,Zfp148
2472,Comt
2473,Fmn2
2474,AI597479
2475,Iqsec2
2476,Acaa1a
2477,Dnai4
2478,Dpysl3
2479,Ctps
2480,Nsfl1c
2481,Cacna1a
2482,Tmem98
2483,Scap
2484,Spred1
2485,Srm
2486,Secisbp2l
2487,Kiz
2488,Psmb3
2489,Zfp428
2490,Frmd8
2491,Ift57
2492,Ikbip
2493,Larp4b
2494,Bet1
2495,Hccs
2496,C1qa
2497,Pcbp2
2498,Vipas39
2499,Uchl1
2500,Hsd17b10
2501,Slc8a1
2502,Cpsf6
2503,Ivd
2504,Rpe
2505,Mmadhc
2506,Poldip3
2507,Col4a1
2508,Nus1
2509,Brd8
2510,Gltp
2511,Enho
2512,Washc2
2513,Arid5b
2514,F2r
2515,Lrrn2
2516,Kpna1
2517,Sgta
2518,Lrrc49
2519,Aig1
2520,Bltp2
2521,Dcun1d4
2522,Tbc1d9b
2523,Egfr
2524,Mga
2525,Tmem237
2526,Glyr1
2527,Col5a2
2528,Pcbp4
2529,Nup93
2530,Psen1
2531,Tmem259
2532,Ubtf
2533,Get1
2534,Pole3
2535,Ube2w
2536,Azi2
2537,Atat1
2538,Ppib
2539,Rrn3
2540,Ap3m2
2541,Arf2
2542,Nipbl
2543,Tpd52
2544,Afg3l2
2545,Fbh1
2546,Crat
2547,Pkig
2548,Midn
2549,Naxd
2550,Gaa
2551,Qars
2552,Banf1
2553,Gnptg
2554,Rnf114
2555,Get3
2556,Ak4
2557,Tom1l2
2558,Ipo9
2559,Clip4
2560,Tcea1
2561,Cep19
2562,Isca2
2563,Serping1
2564,Acsl6
2565,Abca2
2566,Mrpl30
2567,Bod1
2568,Mapre3
2569,Dock1
2570,Afap1
2571,Phb2
2572,Tgfb2
2573,Sc5d
2574,Pik3ip1
2575,Tcf3
2576,Cobll1
2577,Erp29
2578,Mif
2579,Cnn2
2580,Zdhhc5
2581,Sppl2a
2582,Etfrf1
2583,Tmem134
2584,Eci1
2585,Pdxdc1
2586,Itm2a
2587,Mtor
2588,Ccdc6
2589,Zhx3
2590,Brwd1
2591,Mrpl42
2592,Rab29
2593,Acot13
2594,Lats1
2595,Fkbp4
2596,Fam53c
2597,Nfs1
2598,Rsrc1
2599,Hk1
2600,Rhoq
2601,Pias1
2602,Stk38
2603,Cldn12
2604,Picalm
2605,Rnf139
2606,Mest
2607,Ipo11
2608,Ndufa5
2609,Ccnd1
2610,Tnc
2611,Cuta
2612,Naa12
2613,Huwe1
2614,Atp2b4
2615,Btbd17
2616,Tjp2
2617,Fam3c
2618,Snx13
2619,Fastk
2620,Rpl30
2621,Dlg1
2622,Spg20
2623,Gars
2624,Larp4
2625,Tmem176a
2626,Dtx4
2627,Scaf8
2628,Clybl
2629,Fmr1
2630,Sumf1
2631,Cdc42ep4
2632,Extl3
2633,Tmem170b
2634,Tufm
2635,Ttc19
2636,Dnttip2
2637,Tbcb
2638,Ncoa1
2639,Atg3
2640,Alyref
2641,Rnf6
2642,Med7
2643,Slc2a1
2644,Uri1
2645,Rgl1
2646,Ssbp4
2647,Lrrc42
2648,Cdk6
2649,Lrrc57
2650,Emc6
2651,Pcmtd1
2652,Mfn2
2653,Gabbr1
2654,Abi2
2655,Prmt3
2656,Ndufb7
2657,Lars
2658,Arl4a
2659,Usp19
2660,Terf2ip
2661,Cyria
2662,Cdc23
2663,Tmem9
2664,Dpp8
2665,Smc6
2666,Eif3k
2667,Tmem258
2668,Pcmtd2
2669,Pts
2670,Bpnt2
2671,Prelid1
2672,Fuca2
2673,Smg1
2674,Arhgap29
2675,Gatd3a
2676,Aplp1
2677,Pigp
2678,Septin3
2679,Leprotl1
2680,Snn
2681,Setd5
2682,S100a10
2683,Rrm1
2684,Sbds
2685,Vps35l
2686,Sdhaf2
2687,Gtpbp4
2688,Rock1
2689,Parl
2690,Vta1
2691,Gsap
2692,Apbb1
2693,Ilf2
2694,Syn2
2695,Ptk2
2696,Ergic1
2697,Rpl31
2698,Tmx4
2699,Zcchc17
2700,Cyp2j6
2701,Prelp
2702,Islr
2703,Peli1
2704,Gldc
2705,Pde6d
2706,Rpl36a
2707,Bag5
2708,Zmym3
2709,Xpot
2710,Paqr7
2711,Gnb5
2712,Nsg2
2713,Oga
2714,Pak1ip1
2715,Sbk1
2716,Mrpl9
2717,Agrn
2718,Trip4
2719,Rcbtb2
2720,Mrpl45
2721,Odr4
2722,Tm2d1
2723,Gnpat
2724,Nid2
2725,Caml
2726,Marchf8
2727,Brox
2728,Smim8
2729,Stx5a
2730,Sfxn3
2731,Ndufb8
2732,Pgls
2733,Aasdhppt
2734,Seh1l
2735,Ppdpf
2736,Aldh3a2
2737,Gulp1
2738,Daam1
2739,Trim23
2740,Scamp2
2741,Fcgrt
2742,Pmaip1
2743,Blmh
2744,Mia2
2745,Cd109
2746,Sacm1l
2747,Usp5
2748,Smndc1
2749,Iars2
2750,Agfg1
2751,Ift27
2752,Ap3s1
2753,Cdipt
2754,Khdc4
2755,Aagab
2756,Herc2
2757,Rsf1
2758,Prpsap1
2759,Agap1
2760,Ergic2
2761,Vps26b
2762,Stxbp6
2763,Copg1
2764,Ppp3cb
2765,Lingo1
2766,Dram2
2767,Yipf3
2768,Zfp664
2769,Arl6
2770,Ppp6r3
2771,Lama5
2772,Ggps1
2773,Ncbp1
2774,Arhgef4
2775,Smg7
2776,Prmt2
2777,Desi1
2778,Ccdc127
2779,Usp16
2780,Dipk1a
2781,Clns1a
2782,Cdk2ap2
2783,Snap23
2784,Gphn
2785,Ppil2
2786,Alkbh5
2787,Ubap1
2788,Guk1
2789,Anapc2
2790,Ppp1r7
2791,Kcnk10
2792,Rnf20
2793,Ube3b
2794,Utp11
2795,Mageh1
2796,Trps1
2797,Pgam1
2798,Stard5
2799,C1qb
2800,Eif2a
2801,Lgals3bp
2802,Ndel1
2803,Ptar1
2804,Fgf1
2805,Dennd6a
2806,Siah1a
2807,Tars
2808,Golph3l
2809,Btg2
2810,Stk25
2811,Cystm1
2812,Ptpn11
2813,Denr
2814,Insig2
2815,Sra1
2816,Hibch
2817,Rnf103
2818,Wnt5a
2819,Magi1
2820,Alas1
2821,Net1
2822,Srpr
2823,Braf
2824,Eloa
2825,Eapp
2826,Plce1
2827,Wbp1
2828,Prkd1
2829,Cnep1r1
2830,B4galt6
2831,Aurkaip1
2832,Cox6b2
2833,Abhd17a
2834,Mrpl39
2835,Tmed2
2836,Ptpn13
2837,Serpinf1
2838,Ralbp1
2839,Polr3k
2840,Ifnar1
2841,Hnrnpul1
2842,Sesn2
2843,Gstp1
2844,Ttyh2
2845,Apobec1
2846,Cops3
2847,Pfdn1
2848,Agl
2849,Tma7
2850,Tbl1xr1
2851,Dbnl
2852,Tmem185a
2853,Shisa5
2854,Reep2
2855,Id1
2856,Gbe1
2857,Cnot6
2858,Ythdf3
2859,Thumpd3
2860,Tom1l1
2861,Faf1
2862,Dpf2
2863,Ctcf
2864,Top2b
2865,Mrpl4
2866,Itga6
2867,Atp5k
2868,Rnf138
2869,Ube2f
2870,Iftap
2871,Eif4g3
2872,Pqlc3
2873,Wasl
2874,Orc4
2875,Slc35f5
2876,Rxylt1
2877,Ccndbp1
2878,Haghl
2879,Zfp637
2880,Spag7
2881,Bhlhe40
2882,Leng8
2883,Rbm28
2884,Rnf34
2885,Ndufb9
2886,Stradb
2887,Pxk
2888,Cbx6
2889,Ankrd12
2890,Krtcap2
2891,Rbmx
2892,Cops7a
2893,Tmem131
2894,Rere
2895,Anxa1
2896,Psd2
2897,Lpl
2898,Wars1
2899,Suds3
2900,Sys1
2901,Ruvbl2
2902,Steep1
2903,Ubfd1
2904,Drosha
2905,Zdhhc20
2906,Wsb2
2907,Pno1
2908,Dgcr6
2909,Kmt5b
2910,Lactb2
2911,Trnt1
2912,Babam2
2913,Paip1
2914,Ptpn1
2915,Rgcc
2916,Raly
2917,Rpl27
2918,Csmd1
2919,Cyp4f14
2920,Eif2s3y
2921,Gtf2a2
2922,Osbpl5
2923,Tmem147
2924,Ube4a
2925,Gna11
2926,Tmem183a
2927,Mpdu1
2928,Ccdc124
2929,Setd7
2930,Mtss1
2931,Parp3
2932,Ilf3
2933,Khsrp
2934,Gabarapl2
2935,Prelid3b
2936,Nedd4l
2937,Fam171a1
2938,Nfic
2939,Pithd1
2940,Snrpe
2941,Dctn1
2942,Ift122
2943,Slc35d1
2944,Ash1l
2945,Aifm1
2946,Abraxas2
2947,Ppp1r12c
2948,Ufd1
2949,Mfsd2a
2950,Atp2c1
2951,Snrpa
2952,Pigk
2953,Asf1a
2954,Cdk5
2955,Impa1
2956,Ggta1
2957,Gpkow
2958,Atf2
2959,Ip6k2
2960,Serpinb6a
2961,Tmem38a
2962,Mydgf
2963,Crls1
2964,Rin2
2965,Erg28
2966,Mapk3
2967,Tdrd7
2968,Ifngr1
2969,BC005624
2970,Ufl1
2971,Pxdc1
2972,Lrrfip1
2973,Cdh4
2974,Tcn2
2975,Alg5
2976,C1qc
2977,Wdr41
2978,Mta1
2979,Ptbp1
2980,Ctss
2981,Mmp15
2982,Srgap1
2983,Tmem126a
2984,Farsb
2985,Safb
2986,0610012G03Rik
2987,Snapc2
2988,Ankrd17
2989,Rfc1
2990,Acbd3
2991,Usp2
2992,Snrnp27
2993,Atxn2l
2994,Cspp1
2995,Slc33a1
2996,Cfap54
2997,Lztr1
2998,Smo
2999,Fam174a
3000,Ajuba
3001,Letm1
3002,E130114P18Rik
3003,Phf3
3004,Phc2
3005,Mybbp1a
3006,Tmem223
3007,Txndc17
3008,Chmp1b
3009,Klhdc3
3010,Rtf2
3011,Rnf19a
3012,Elf2
3013,Sash1
3014,Arhgef10l
3015,Lancl1
3016,Ap1b1
3017,Dnajc15
3018,Gk
3019,Upf3a
3020,Zcrb1
3021,Ndufaf7
3022,Zfp652
3023,Pnpt1
3024,Wipi2
3025,Hnrnph2
3026,Nop58
3027,Fbxw5
3028,Crebbp
3029,Ddo
3030,Slc20a2
3031,Glrx5
3032,Dr1
3033,Ldlrad3
3034,Glmp
3035,Ss18
3036,Mtap
